goos: linux
goarch: amd64
cpu: AMD Ryzen 7 PRO 5850U with Radeon Graphics     
BenchmarkIntsClosures-16       	     690	   1746994 ns/op	  320147 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     682	   1797155 ns/op	  320149 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     686	   1754090 ns/op	  320148 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     685	   1762869 ns/op	  320148 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     690	   1781672 ns/op	  320148 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     652	   1759400 ns/op	  320154 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     690	   1746883 ns/op	  320148 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     688	   1778094 ns/op	  320150 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     643	   1789866 ns/op	  320156 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     686	   1744076 ns/op	  320150 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     658	   1761160 ns/op	  320154 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     686	   1817968 ns/op	  320149 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     690	   1765096 ns/op	  320148 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     656	   1751790 ns/op	  320155 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     688	   1799352 ns/op	  320147 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     680	   1759771 ns/op	  320490 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     679	   1780955 ns/op	  320154 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     680	   1810133 ns/op	  320149 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     660	   1816396 ns/op	  320152 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     640	   1805492 ns/op	  320156 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     676	   1823133 ns/op	  320149 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     648	   1792365 ns/op	  320157 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     592	   1819436 ns/op	  320167 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     638	   1789311 ns/op	  320159 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     679	   1797183 ns/op	  320150 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     681	   1809606 ns/op	  320150 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     678	   1780201 ns/op	  320150 B/op	   10002 allocs/op
