goos: windows
goarch: amd64
pkg: github.com/zekroTutorials/go-range-benchmarks
cpu: AMD Ryzen 7 5800X 8-Core Processor             
BenchmarkStringsClosures-16    	     865	   1397465 ns/op	  480595 B/op	   10024 allocs/op
BenchmarkStringsClosures-16    	     866	   1400034 ns/op	  480595 B/op	   10024 allocs/op
BenchmarkStringsClosures-16    	     855	   1394488 ns/op	  480601 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     852	   1394743 ns/op	  480603 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     849	   1422545 ns/op	  480605 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     868	   1393878 ns/op	  480593 B/op	   10024 allocs/op
BenchmarkStringsClosures-16    	     864	   1399057 ns/op	  480595 B/op	   10024 allocs/op
BenchmarkStringsClosures-16    	     865	   1395990 ns/op	  480594 B/op	   10024 allocs/op
BenchmarkStringsClosures-16    	     855	   1388908 ns/op	  480601 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     842	   1403991 ns/op	  480609 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     856	   1400617 ns/op	  480601 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     872	   1386909 ns/op	  480590 B/op	   10024 allocs/op
BenchmarkStringsClosures-16    	     862	   1394158 ns/op	  480597 B/op	   10024 allocs/op
BenchmarkStringsClosures-16    	     854	   1403360 ns/op	  480603 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     867	   1386947 ns/op	  480593 B/op	   10024 allocs/op
BenchmarkStringsClosures-16    	     862	   1386788 ns/op	  480597 B/op	   10024 allocs/op
BenchmarkStringsClosures-16    	     858	   1399487 ns/op	  480599 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     856	   1394329 ns/op	  480601 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     841	   1391759 ns/op	  480609 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     879	   1408327 ns/op	  480585 B/op	   10024 allocs/op
BenchmarkStringsClosures-16    	     819	   1394501 ns/op	  480626 B/op	   10026 allocs/op
BenchmarkStringsClosures-16    	     862	   1394179 ns/op	  480596 B/op	   10024 allocs/op
BenchmarkStringsClosures-16    	     856	   1384438 ns/op	  480601 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     876	   1395061 ns/op	  480588 B/op	   10024 allocs/op
BenchmarkStructs-16            	     458	   2391850 ns/op	  174679 B/op	       0 allocs/op
BenchmarkStructs-16            	     483	   2442704 ns/op	  165637 B/op	       0 allocs/op
BenchmarkStructs-16            	     457	   2381411 ns/op	  175061 B/op	       0 allocs/op
BenchmarkStructs-16            	     481	   2366977 ns/op	  166326 B/op	       0 allocs/op
BenchmarkStructs-16            	     483	   2359468 ns/op	  165637 B/op	       0 allocs/op
BenchmarkStructs-16            	     489	   2382372 ns/op	  163605 B/op	       0 allocs/op
BenchmarkStructs-16            	     478	   2356978 ns/op	  167370 B/op	       0 allocs/op
BenchmarkStructs-16            	     460	   2359551 ns/op	  173919 B/op	       0 allocs/op
